Abilene Christian,Abilene Christian Wildcats
Air Force,Air Force Falcons
Akron,Akron Zips
Alabama A&M,Alabama A&M Bulldogs
Alabama,Alabama Crimson Tide
Alabama St.,Alabama State Hornets
UAB,Alabama-Birmingham Blazers
Albany,Albany Great Danes
Alcorn St.,Alcorn State Braves
American U.,American Eagles
Appalachian St.,Appalachian State Mountaineers
Arizona State,Arizona State Sun Devils
Arizona,Arizona Wildcats
Arkansas,Arkansas Razorbacks
Arkansas St.,Arkansas State Red Wolves
Little Rock,Arkansas-Little Rock Trojans
Arkansas-Pine Bluff,Arkansas-Pine Bluff Golden Lions
Army,Army Black Knights
Auburn,Auburn Tigers
Austin Peay,Austin Peay State Governors
Ball St.,Ball State Cardinals
Baylor,Baylor Bears
Belmont,Belmont Bruins
Bethune-Cookman,Bethune Cookman Wildcats
Binghamton,Binghamton Bearcats
Boise St.,Boise State Broncos
Boston College,Boston College Eagles
Boston U,Boston University Terriers
Bowling Green,Bowling Green State Falcons
Bradley,Bradley Braves
Brigham Young,Brigham Young Cougars
Brown,Brown Bears
Bryant,Bryant University Bulldogs
Bucknell,Bucknell Bison
Buffalo,Buffalo Bulls
Butler,Butler Bulldogs
Cal Poly SLO,Cal Poly-Slo Mustangs
California,California Golden Bears
Cal. State - Bakersfield,California State-Bakersfield Roadrunners
Cal St. Fullerton,California State-Fullerton Titans
Long Beach St.,California State-Long Beach 49ers
CSU Northridge,California State-Northridge Matadors
Sacramento State,California State-Sacramento Hornets
UC Davis,California-Davis Aggies
UC Irvine,California-Irvine Anteaters
UC Riverside,California-Riverside Highlanders
UC Santa Barbara,California-Santa Barbara Gauchos
Campbell,Campbell Fighting Camels
Canisius,Canisius Golden Griffins
Central Arkansas,Central Arkansas Bears
Central Conn. St.,Central Connecticut State Blue Devils
Central Florida,Central Florida Knights
Central Michigan,Central Michigan Chippewas
Charleston Southern,Charleston Southern Buccaneers
Chicago St.,Chicago State Cougars
Cincinnati,Cincinnati Bearcats
The Citadel,Citadel Bulldogs
Clemson,Clemson Tigers
Cleveland St.,Cleveland State Vikings
Coastal Carolina,Coastal Carolina Chanticleers
Colgate,Colgate Red Raiders
Charleston,College of Charleston Cougars
Colorado,Colorado Buffaloes
Colorado St.,Colorado State Rams
Columbia,Columbia Lions
Connecticut,Connecticut Huskies
Coppin St.,Coppin State Eagles
Cornell,Cornell Big Red
Creighton,Creighton Blue Jays
Dartmouth,Dartmouth College Big Green
Davidson,Davidson College Wildcats
Dayton,Dayton Flyers
Delaware,Delaware Blue Hens
Delaware State,Delaware State Hornets
Denver,Denver Pioneers
DePaul,DePaul Blue Demons
Detroit Mercy,Detroit-Mercy Titans
Drake,Drake Bulldogs
Drexel,Drexel Dragons
Duke,Duke Blue Devils
Duquesne,Duquesne Dukes
East Carolina,East Carolina Pirates
East Tennessee St.,East Tennessee State Buccaneers
Eastern Illinois,Eastern Illinois Panthers
Eastern Kentucky,Eastern Kentucky Colonels
Eastern Michigan,Eastern Michigan Eagles
Eastern Washington,Eastern Washington Eagles
Elon University,Elon Phoenix
Evansville,Evansville Aces
Fairfield,Fairfield Stags
Fairleigh Dickinson,Fairleigh Dickinson-Metropolitan Knights
Florida A&M,Florida A&M Rattlers
Florida Atlantic,Florida Atlantic Owls
Florida,Florida Gators
Florida Gulf Coast,Florida Gulf Coast Eagles
Florida International,Florida International Panthers
Florida State,Florida State Seminoles
Fordham,Fordham Rams
Fresno St.,Fresno State Bulldogs
Furman,Furman Paladins
Gardner-Webb,Gardner Webb Runnin Bulldogs
George Mason,George Mason Patriots
George Washington,George Washington Colonials
Georgetown,Georgetown Hoyas
Georgia,Georgia Bulldogs
Georgia Southern,Georgia Southern Eagles
Georgia St,Georgia State Panthers
Georgia Tech,Georgia Tech Yellow Jackets
Gonzaga,Gonzaga Bulldogs
Grambling St.,Grambling State Tigers
Grand Canyon,Grand Canyon Antelope
Hampton,Hampton University Pirates
Hartford,Hartford Hawks
Harvard,Harvard Crimson
Hawaii,Hawaii Rainbow Warriors
High Point,High Point Panthers
Hofstra,Hofstra Pride
Holy Cross,Holy Cross Crusaders
Houston Baptist,Houston Baptist Huskies
Houston,Houston Cougars
Howard,Howard Bison
Idaho State,Idaho State Bengals
Idaho,Idaho Vandals
Illinois,Illinois Fighting Illini
Illinois St.,Illinois State Redbirds
Illinois-Chicago,Illinois-Chicago Flames
Incarnate Word,Incarnate Word Cardinals
Indiana,Indiana Hoosiers
Indiana St.,Indiana State Sycamores
Indiana - Purdue,Indiana-Purdue Jaguars
Iona,Iona Gaels
Iowa,Iowa Hawkeyes
Iowa State,Iowa State Cyclones
IUPU - Ft. Wayne,IUPU-Fort Wayne Mastadons
Jackson State,Jackson State Tigers
Jacksonville,Jacksonville Dolphins
Jacksonville St.,Jacksonville State Gamecocks
James Madison,James Madison Dukes
Kansas,Kansas Jayhawks
Kansas State,Kansas State Wildcats
Kennesaw St.,Kennesaw State Owls
Kent St.,Kent State Golden Flashes
Kentucky,Kentucky Wildcats
La Salle,La Salle Explorers
Lafayette,Lafayette College Leopards
Lamar,Lamar Cardinals
Lehigh,Lehigh Mountain Hawks
Liberty,Liberty University Flames
Lipscomb,Lipscomb Bison
LIU Brooklyn,Long Island Brooklyn Blackbirds
Longwood,Longwood Lancers
Louisiana State,Louisiana State Tigers
Louisiana Tech,Louisiana Tech Bulldogs
UL Lafayette,Louisiana-Lafayette Ragin Cajuns
Louisiana Monroe,Louisiana-Monroe Warhawks
Louisville,Louisville Cardinals
Loyola-Chicago,Loyola-Chicago Ramblers
Loyola Marymount,Loyola-Maryland Greyhounds
Loyola-Maryland,Loyola-Marymount Lions
Maine,Maine Black Bears
Manhattan,Manhattan Jaspers
Marist,Marist Red Foxes
Marquette,Marquette Golden Eagles
Marshall,Marshall Thundering Herd
Maryland,Maryland Terrapins
MD Baltimore County,Maryland-Baltimore County Retrievers
Maryland - E. Shore,Maryland-Eastern Shore Hawks
Massachusetts,Massachusetts Minutemen
Massachusetts Lowell,Massachusetts-Lowell River Hawks
McNeese St.,McNeese State Cowboys
Memphis,Memphis Tigers
Mercer,Mercer Bears
Miami-Florida,Miami-Florida Hurricanes
Miami (OH),Miami-Ohio Redhawks
Michigan St,Michigan State Spartans
Michigan,Michigan Wolverines
Middle Tennessee St.,Middle Tennessee State Blue Raiders
Minnesota,Minnesota Golden Gophers
Mississippi,Mississippi Rebels
Mississippi State,Mississippi State Bulldogs
Mississippi Valley State,Mississippi Valley State Delta Devils
Missouri St.,Missouri State Bears
Missouri,Missouri Tigers
UMKC,Missouri-Kansas City Kangaroos
Monmouth-NJ,Monmouth-New Jersey Hawks
Montana,Montana Grizzlies
Montana St.,Montana State Bobcats
Morehead St.,Morehead State Eagles
Morgan St.,Morgan State Bears
Mount St. Mary's,Mount Saint Marys Mountaineers
Murray St.,Murray State Racers
Navy,Navy Midshipmen
Nebraska,Nebraska Cornhuskers
Nebraska Omaha,Nebraska-Omaha Mavericks
Nevada,Nevada Wolf Pack
New Hampshire,New Hampshire Wildcats
New Jersey Tech,New Jersey Tech Highlanders
New Mexico,New Mexico Lobos
New Mexico St.,New Mexico State Aggies
New Orleans,New Orleans Privateers
Niagara,Niagara Purple Eagles
Nicholls State,Nicholls State Colonels
Norfolk State,Norfolk State Spartans
No.Carolina A&T,North Carolina A&T Aggies
North Carolina Central,North Carolina Central Eagles
NC State,North Carolina State Wolfpack
North Carolina,North Carolina Tar Heels
N.C. Asheville,North Carolina-Asheville Bulldogs
Charlotte,North Carolina-Charlotte 49ers
NC-Greensboro,North Carolina-Greensboro Spartans
NC-Wilmington,North Carolina-Wilmington Seahawks
North Dakota,North Dakota Fighting Hawks
North Dakota State,North Dakota State Bison
North Florida,North Florida Ospreys
North Texas,North Texas Mean Green Eagles
Northeastern,Northeastern Huskies
Northern Arizona,Northern Arizona Lumberjacks
Northern Colorado,Northern Colorado Bears
Northern Illinois,Northern Illinois Huskies
Northern Iowa,Northern Iowa Panthers
Northern Kentucky,Northern Kentucky Norse
Northwestern St.,Northwestern State Demons
Northwestern,Northwestern Wildcats
Notre Dame,Notre Dame Fighting Irish
Oakland,Oakland Golden Grizzlies
Ohio,Ohio Bobcats
Ohio St.,Ohio State Buckeyes
Oklahoma,Oklahoma Sooners
Oklahoma State,Oklahoma State Cowboys
Old Dominion,Old Dominion Monarchs
Oral Roberts,Oral Roberts Golden Eagles
Oregon,Oregon Ducks
Oregon St.,Oregon State Beavers
Pacific,Pacific Tigers
Penn St.,Penn State Nittany Lions
Pennsylvania,Pennsylvania Quakers
Pepperdine,Pepperdine Waves
Pittsburgh,Pittsburgh Panthers
Portland,Portland Pilots
Portland St.,Portland State Vikings
Prairie View A&M,Prairie View A&M Panthers
Presbyterian,Presbyterian Blue Hose
Princeton,Princeton Tigers
Providence,Providence Friars
Purdue,Purdue Boilermakers
Quinnipiac,Quinnipiac Bobcats
Radford,Radford Highlanders
Rhode Island,Rhode Island Rams
Rice,Rice University Owls
Richmond,Richmond Spiders
Rider,Rider Broncs
Robert Morris,Robert Morris Colonials
Rutgers,Rutgers Scarlet Knights
Sacred Heart,Sacred Heart Pioneers
St. Bonaventure,Saint Bonaventure Bonnies
St. Francis (NY),Saint Francis-New York Terriers
St. Francis (PA),Saint Francis-Pennsylvania Red Flash
St. John's,Saint Johns Red Storm
St. Joseph's,Saint Josephs-Pennsylvania Hawks
Saint Louis,Saint Louis Billikens
St. Mary's,Saint Marys College-California Gaels
St. Peter's,Saint Peters Peacocks
Sam Houston St.,Sam Houston State Bearkats
Samford,Samford Bulldogs
San Diego St.,San Diego State Aztecs
San Diego,San Diego Toreros
San Francisco,San Francisco Dons
San Jose St.,San Jose State Spartans
Santa Clara,Santa Clara Broncos
Savannah State,Savannah State Tigers
Seattle,Seattle University Red Hawks
Seton Hall,Seton Hall Pirates
Siena,Siena College Saints
South Alabama,South Alabama Jaguars
South Carolina,South Carolina Gamecocks
South Carolina State,South Carolina State Bulldogs
South Carolina Upstate,South Carolina-Upstate Spartans
South Dakota,South Dakota Coyotes
South Dakota State,South Dakota State Jackrabbits
South Florida,South Florida Bulls
SE Missouri St.,Southeast Missouri State Redhawks
Southeastern Louisiana,Southeastern Louisiana Lions
Southern California,Southern California Trojans
Southern Illinois,Southern Illinois Salukis
SIU - Edwardsville,Southern Illinois-Edwardsville Cougars
Southern Methodist,Southern Methodist Mustangs
Southern Miss,Southern Mississippi Golden Eagles
Southern,Southern University A&M Jaguars
Southern Utah,Southern Utah Thunderbirds
Stanford,Stanford Cardinal
Stephen F. Austin,Stephen F. Austin State Lumberjacks
Stetson,Stetson Hatters
Stony Brook,Stony Brook Seawolves
Syracuse,Syracuse Orange
Temple,Temple Owls
Tennessee St.,Tennessee State Tigers
Tennessee Tech,Tennessee Tech Golden Eagles
Tennessee,Tennessee Volunteers
Chattanooga,Tennessee-Chattanooga Moccasins
Tenn-Martin,Tennessee-Martin Skyhawks
Texas A&M,Texas A&M Aggies
Texas A&M CC,Texas A&M-Corpus Christi Islanders
Texas Christian,Texas Christian Horned Frogs
Texas,Texas Longhorns
Texas Rio Grande Valley,Texas Rio Grande Vaqueros
Texas Southern,Texas Southern Tigers
Texas State,Texas State Bobcats
Texas Tech,Texas Tech Red Raiders
Texas-Arlington,Texas-Arlington Mavericks
Texas-El Paso,Texas-El Paso Miners
Texas-San Antonio,Texas-San Antonio Roadrunners
Toledo,Toledo Rockets
Towson,Towson Tigers
Troy,Troy Trojans
Tulane,Tulane Green Wave
Tulsa,Tulsa Golden Hurricane
UCLA,UCLA Bruins
UNLV,UNLV Rebels
Utah St.,Utah State Aggies
Utah,Utah Utes
Utah Valley,Utah Valley Wolverines
Valparaiso,Valparaiso Crusaders
Vanderbilt,Vanderbilt Commodores
Vermont,Vermont Catamounts
Villanova,Villanova Wildcats
Virginia,Virginia Cavaliers
VCU,Virginia Commonwealth Rams
VMI,Virginia Military Keydets
Virginia Tech,Virginia Tech Hokies
Wagner,Wagner Seahawks
Wake Forest,Wake Forest Demon Deacons
Washington,Washington Huskies
Washington St.,Washington State Cougars
Weber St.,Weber State Wildcats
West Virginia,West Virginia Mountaineers
Western Carolina,Western Carolina Catamounts
Western Illinois,Western Illinois Leathernecks
Western Kentucky,Western Kentucky Hilltoppers
Western Michigan,Western Michigan Broncos
Wichita St.,Wichita State Shockers
William & Mary,William & Mary Tribe
Winthrop,Winthrop Eagles
Wisconsin,Wisconsin Badgers
Green Bay,Wisconsin-Green Bay Phoenix
Wis.-Milwaukee,Wisconsin-Milwaukee Panthers
Wofford,Wofford Terriers
Wright St.,Wright State Raiders
Wyoming,Wyoming Cowboys
Xavier,Xavier Musketeers
Yale,Yale Bulldogs
Youngstown St.,Youngstown State Penguins
,
,
,
,
,
